ID,run,sample,donor,irradiation,time,cell,Passage,condition,Seeding date, seeded cells x 105,Irradiation date,Detachment date,total cell numbers x 106,number of tubes,cell numbers/tube,%_Purity,%_Viability,read_name,rna_input_ng,rna_quality_rin,endpcr_cycles,tape_d1000_bp,tape_d1000_conc_ngul,pf_reads_run_total,paired_end,pf_reads_sample_percent,pf_reads_sample,cell_passage,seed_date,harvest_date,rna_extract_date,entity
D-f,EKB_20240924,DSC_03_24_3x_UVB300_24h,03_24,3x_UVB300,24h,DSC,,DSC_3x_UVB300_24h,,,,,,,,,,D-f_S40_R1_001.fastq.gz,47,nd,18,293,6,511748149,1,1027,5.30E+06,,,,,mRNA
M1,EKB_20240924,Melanocytes_27_23_control_6h,27_23,control,6h,Melanocytes,,Melanocytes_control_6h,,,,,,,,,,M1_S2_R1_001.fastq.gz,81,6.8,17,346,6.98,511748149,1,1348,6.90E+06,,,,,mRNA
M2,EKB_20240924,Melanocytes_27_23_1x_UVB300_6h,27_23,1x_UVB300,6h,Melanocytes,,Melanocytes_1x_UVB300_6h,,,,,,,,,,M2_S3_R1_001.fastq.gz,502,4.8,19,327,5.54,511748149,1,995,5.10E+06,,,,,mRNA
M3,EKB_20240924,Melanocytes_27_23_3x_UVB300_6h,27_23,3x_UVB300,6h,Melanocytes,,Melanocytes_3x_UVB300_6h,,,,,,,,,,M3_S9_R1_001.fastq.gz,294,6,18,267,3.41,511748149,1,1408,7.20E+06,,,,,mRNA
M4,EKB_20240924,Melanocytes_28_23_control_6h,28_23,control,6h,Melanocytes,,Melanocytes_control_6h,,,,,,,,,,M4_S4_R1_001.fastq.gz,513,nd,17,325,3.39,511748149,1,993,5.10E+06,,,,,mRNA
M5,EKB_20240924,Melanocytes_28_23_1x_UVB300_6h,28_23,1x_UVB300,6h,Melanocytes,,Melanocytes_1x_UVB300_6h,,,,,,,,,,M5_S10_R1_001.fastq.gz,500,nd,18,263,2.6,511748149,1,1398,7.20E+06,,,,,mRNA
M6,EKB_20240924,Melanocytes_28_23_3x_UVB300_6h,28_23,3x_UVB300,6h,Melanocytes,,Melanocytes_3x_UVB300_6h,,,,,,,,,,M6_S11_R1_001.fastq.gz,500,nd,18,283,5.01,511748149,1,1683,8.60E+06,,,,,mRNA
M7,EKB_20240924,Melanocytes_29_23_control_6h,29_23,control,6h,Melanocytes,,Melanocytes_control_6h,,,,,,,,,,M7_S12_R1_001.fastq.gz,500,nd,18,265,4.52,511748149,1,996,5.10E+06,,,,,mRNA
M8,EKB_20240924,Melanocytes_29_23_1x_UVB300_6h,29_23,1x_UVB300,6h,Melanocytes,,Melanocytes_1x_UVB300_6h,,,,,,,,,,M8_S13_R1_001.fastq.gz,500,nd,18,294,8.94,511748149,1,1612,8.20E+06,,,,,mRNA
M10,EKB_20240924,Melanocytes_30_23_control_6h,30_23,control,6h,Melanocytes,,Melanocytes_control_6h,,,,,,,,,,M10_S15_R1_001.fastq.gz,570,nd,18,271,395,511748149,1,485,2.50E+06,,,,,mRNA
M11,EKB_20240924,Melanocytes_30_23_1x_UVB300_6h,30_23,1x_UVB300,6h,Melanocytes,,Melanocytes_1x_UVB300_6h,,,,,,,,,,M11_S16_R1_001.fastq.gz,500,nd,18,258,2.74,511748149,1,1191,6.10E+06,,,,,mRNA
M12,EKB_20240924,Melanocytes_30_23_3x_UVB300_6h,30_23,3x_UVB300,6h,Melanocytes,,Melanocytes_3x_UVB300_6h,,,,,,,,,,M12_S17_R1_001.fastq.gz,500,nd,18,276,3.39,511748149,1,1377,7.00E+06,,,,,mRNA
M13,EKB_20240924,Melanocytes_31_23_control_6h,31_23,control,6h,Melanocytes,,Melanocytes_control_6h,,,,,,,,,,M13_S18_R1_001.fastq.gz,500,nd,18,306,9.83,511748149,1,1168,6.00E+06,,,,,mRNA
M14,EKB_20240924,Melanocytes_31_23_1x_UVB300_6h,31_23,1x_UVB300,6h,Melanocytes,,Melanocytes_1x_UVB300_6h,,,,,,,,,,M14_S19_R1_001.fastq.gz,500,nd,18,288,5.44,511748149,1,1261,6.50E+06,,,,,mRNA
M15,EKB_20240924,Melanocytes_31_23_3x_UVB300_6h,31_23,3x_UVB300,6h,Melanocytes,,Melanocytes_3x_UVB300_6h,,,,,,,,,,M15_S20_R1_001.fastq.gz,500,nd,18,326,20.9,511748149,1,1579,8.10E+06,,,,,mRNA
M16,EKB_20240924,Melanocytes_27_23_control_24h,27_23,control,24h,Melanocytes,,Melanocytes_control_24h,,,,,,,,,,M16_S41_R1_001.fastq.gz,274,nd,19,300,7.11,511748149,1,1021,5.20E+06,,,,,mRNA
M17,EKB_20240924,Melanocytes_27_23_1x_UVB300_24h,27_23,1x_UVB300,24h,Melanocytes,,Melanocytes_1x_UVB300_24h,,,,,,,,,,M17_S42_R1_001.fastq.gz,500,nd,19,330,9.66,511748149,1,1846,9.40E+06,,,,,mRNA
M18,EKB_20240924,Melanocytes_27_23_3x_UVB300_24h,27_23,3x_UVB300,24h,Melanocytes,,Melanocytes_3x_UVB300_24h,,,,,,,,,,M18_S43_R1_001.fastq.gz,212,nd,19,312,3.81,511748149,1,1042,5.30E+06,,,,,mRNA
M19,EKB_20240924,Melanocytes_28_23_control_24h,28_23,control,24h,Melanocytes,,Melanocytes_control_24h,,,,,,,,,,M19_S44_R1_001.fastq.gz,500,nd,19,319,12.5,511748149,1,1258,6.40E+06,,,,,mRNA
M20,EKB_20240924,Melanocytes_28_23_1x_UVB300_24h,28_23,1x_UVB300,24h,Melanocytes,,Melanocytes_1x_UVB300_24h,,,,,,,,,,M20_S45_R1_001.fastq.gz,277,nd,19,346,4.36,511748149,1,833,4.30E+06,,,,,mRNA
M21,EKB_20240924,Melanocytes_28_23_3x_UVB300_24h,28_23,3x_UVB300,24h,Melanocytes,,Melanocytes_3x_UVB300_24h,,,,,,,,,,M21_S46_R1_001.fastq.gz,500,nd,19,329,11.5,511748149,1,1088,5.60E+06,,,,,mRNA
M22,EKB_20240924,Melanocytes_29_23_control_24h,29_23,control,24h,Melanocytes,,Melanocytes_control_24h,,,,,,,,,,M22_S47_R1_001.fastq.gz,500,nd,19,310,17.8,511748149,1,1114,5.70E+06,,,,,mRNA
M23,EKB_20240924,Melanocytes_29_23_1x_UVB300_24h,29_23,1x_UVB300,24h,Melanocytes,,Melanocytes_1x_UVB300_24h,,,,,,,,,,M23_S48_R1_001.fastq.gz,500,nd,19,308,10.7,511748149,1,1069,5.50E+06,,,,,mRNA
M24,EKB_20240924,Melanocytes_29_23_3x_UVB300_24h,29_23,3x_UVB300,24h,Melanocytes,,Melanocytes_3x_UVB300_24h,,,,,,,,,,M24_S49_R1_001.fastq.gz,500,nd,19,330,14.2,511748149,1,1552,7.90E+06,,,,,mRNA
M25,EKB_20240924,Melanocytes_30_23_control_24h,30_23,control,24h,Melanocytes,,Melanocytes_control_24h,,,,,,,,,,M25_S50_R1_001.fastq.gz,500,nd,19,333,13.6,511748149,1,1325,6.80E+06,,,,,mRNA
M26,EKB_20240924,Melanocytes_30_23_1x_UVB300_24h,30_23,1x_UVB300,24h,Melanocytes,,Melanocytes_1x_UVB300_24h,,,,,,,,,,M26_S51_R1_001.fastq.gz,500,nd,19,350,19.7,511748149,1,999,5.10E+06,,,,,mRNA
M27,EKB_20240924,Melanocytes_30_23_3x_UVB300_24h,30_23,3x_UVB300,24h,Melanocytes,,Melanocytes_3x_UVB300_24h,,,,,,,,,,M27_S52_R1_001.fastq.gz,500,nd,19,339,10.5,511748149,1,1255,6.40E+06,,,,,mRNA
M28,EKB_20240924,Melanocytes_31_23_control_24h,31_23,control,24h,Melanocytes,,Melanocytes_control_24h,,,,,,,,,,M28_S53_R1_001.fastq.gz,385,nd,19,330,5.47,511748149,1,853,4.40E+06,,,,,mRNA
M29,EKB_20240924,Melanocytes_31_23_1x_UVB300_24h,31_23,1x_UVB300,24h,Melanocytes,,Melanocytes_1x_UVB300_24h,,,,,,,,,,M29_S54_R1_001.fastq.gz,112,nd,19,315,3.44,511748149,1,1015,5.20E+06,,,,,mRNA
M30,EKB_20240924,Melanocytes_31_23_3x_UVB300_24h,31_23,3x_UVB300,24h,Melanocytes,,Melanocytes_3x_UVB300_24h,,,,,,,,,,M30_S55_R1_001.fastq.gz,500,nd,19,350,6.88,511748149,1,1145,5.90E+06,,,,,mRNA
M-a,EKB_20240924,Melanocytes_03_24_control_6h,03_24,control,6h,Melanocytes,,Melanocytes_control_6h,,,,,,,,,,M-a_S21_R1_001.fastq.gz,500,nd,18,282,13.9,511748149,1,1668,8.50E+06,,,,,mRNA
M-b,EKB_20240924,Melanocytes_03_24_1x_UVB300_6h,03_24,1x_UVB300,6h,Melanocytes,,Melanocytes_1x_UVB300_6h,,,,,,,,,,M-b_S22_R1_001.fastq.gz,500,nd,18,308,10.5,511748149,1,1284,6.60E+06,,,,,mRNA
M-c,EKB_20240924,Melanocytes_03_24_3x_UVB300_6h,03_24,3x_UVB300,6h,Melanocytes,,Melanocytes_3x_UVB300_6h,,,,,,,,,,M-c_S23_R1_001.fastq.gz,50,nd,18,285,6.2,511748149,1,1081,5.50E+06,,,,,mRNA
D1,EKB_20250410,DSC_27_23_control_6h,27_23,control,6h,DSC,9,DSC_control_6h,10.01.2025,7,29.01.2025,29.01.2025,0.8,1,0.8,99.85,91.38,,500,9.9,15,414,2.11,,,,,,,,,
D2,EKB_20250410,DSC_27_23_1x_UVB300_6h,27_23,1x_UVB300,6h,DSC,9,DSC_1x_UVB300_6h,10.01.2025,7,29.01.2025,29.01.2025,1,1,1,99.81,93.02,,500,9.9,15,425,1.91,,,,,,,,,
D3,EKB_20250410,DSC_27_23_1x_UVB900_6h,27_23,1x_UVB900,6h,DSC,9,DSC_1x_UVB900_6h,10.01.2025,7,29.01.2025,29.01.2025,0.75,1,0.75,99.67,88.39,,500,9.9,15,432,1.12,,,,,,,,,
D4,EKB_20250410,DSC_27_23_3x_UVB300_6h,27_23,3x_UVB300,6h,DSC,9,DSC_3x_UVB300_6h,10.01.2025,7,27-29.01.2025,29.01.2025,0.75,1,0.75,99.87,89.57,,500,10,15,419,1.46,,,,,,,,,
,,DSC_27_23_1x_UVA72_6h,27_23,1x_UVA72,6h,DSC,9,DSC_1x_UVA72_6h,10.01.2025,7,29.01.2025,29.01.2025,0.55,1,0.55,99.7,84.4,,,,,,,,,,,,,,,
,,DSC_27_23_3x_UVA24_6h,27_23,3x_UVA24,6h,DSC,9,DSC_3x_UVA24_6h,10.01.2025,7,27-29.01.2025,29.01.2025,0.51,1,0.51,99.85,90.56,,,,,,,,,,,,,,,
,,DSC_27_23_1x_UVA72_UVB900_6h,27_23,1x_UVA72_UVB900,6h,DSC,9,DSC_1x_UVA72_UVB900_6h,10.01.2025,7,29.01.2025,29.01.2025,0.92,1,0.92,98.25,78.05,,,,,,,,,,,,,,,
,,DSC_27_23_3x_UVA24_UVB300_6h,27_23,3x_UVA24_UVB300,6h,DSC,9,DSC_3x_UVA24_UVB300_6h,10.01.2025,7,27-29.01.2025,29.01.2025,0.75,1,0.75,99.72,69.79,,,,,,,,,,,,,,,
D5,EKB_20250410,DSC_27_23_control_24h,27_23,control,24h,DSC,9,DSC_control_24h,10.01.2025,7,27-29.01.2025,30.01.2025,1.57,2,0.62,99.8,88.71,,500,10,15,396,0.76,,,,,,,,,
D6,EKB_20250410,DSC_27_23_1x_UVB300_24h,27_23,1x_UVB300,24h,DSC,9,DSC_1x_UVB300_24h,10.01.2025,7,29.01.2025,30.01.2025,1,1,0.77,99.64,90.3,,500,9.9,15,425,4.11,,,,,,,,,
D7,EKB_20250410,DSC_27_23_1x_UVB900_24h,27_23,1x_UVB900,24h,DSC,9,DSC_1x_UVB900_24h,10.01.2025,7,29.01.2025,30.01.2025,0.72,1,0.87,99.2,74.77,,500,9.7,15,414,2.87,,,,,,,,,
D8,EKB_20250410,DSC_27_23_3x_UVB300_24h,27_23,3x_UVB300,24h,DSC,9,DSC_3x_UVB300_24h,10.01.2025,7,27-29.01.2025,30.01.2025,0.8,1,0.45,99.86,83.94,,497,10,15,396,5.76,,,,,,,,,
,,DSC_27_23_1x_UVA72_24h,27_23,1x_UVA72,24h,DSC,9,DSC_1x_UVA72_24h,10.01.2025,7,29.01.2025,30.01.2025,0.65,1,0.47,99.96,92.02,,,,,,,,,,,,,,,
