ID,run,sample,donor,irradiation,time,cell,Passage,condition,Seeding date, seeded cells x 105,Irradiation date,Detachment date,total cell numbers x 106,number of tubes,cell numbers/tube,%_Purity,%_Viability,read_name,rna_input_ng,rna_quality_rin,endpcr_cycles,tape_d1000_bp,tape_d1000_conc_ngul,pf_reads_run_total,paired_end,pf_reads_sample_percent,pf_reads_sample,cell_passage,seed_date,harvest_date,rna_extract_date,entity
D27,EKB_20250506,DSC_31_23_1x_UVB900_6h,31_23,1x_UVB900,6h,DSC,6,DSC_1x_UVB900_6h,04.02.2025,10,12.02.2025,12.02.2025,1.7,2,0.85,99.36,85.69,,229.5,9.8,16,195,3.03,,,,,,,,,
D28,EKB_20250506,DSC_31_23_3x_UVB300_6h,31_23,3x_UVB300,6h,DSC,6,DSC_3x_UVB300_6h,04.02.2025,10,10-12.02.2025,12.02.2025,1.1,2,0.55,98.58,79.55,,242.5,9.6,16,197,3.22,,,,,,,,,
,,DSC_31_23_1x_UVA72_6h,31_23,1x_UVA72,6h,DSC,6,DSC_1x_UVA72_6h,04.02.2025,10,12.02.2025,12.02.2025,1.2,2,0.6,99.56,92.95,,,,,,,,,,,,,,,
,,DSC_31_23_3x_UVA24_6h,31_23,3x_UVA24,6h,DSC,6,DSC_3x_UVA24_6h,04.02.2025,10,10-12.02.2025,12.02.2025,1.3,2,0.65,99.65,93.95,,,,,,,,,,,,,,,
,,DSC_31_23_1x_UVA72_UVB900_6h,31_23,1x_UVA72_UVB900,6h,DSC,6,DSC_1x_UVA72_UVB900_6h,04.02.2025,10,12.02.2025,12.02.2025,1.32,2,0.66,99.44,87.59,,,,,,,,,,,,,,,
,,DSC_31_23_3x_UVA24_UVB300_6h,31_23,3x_UVA24_UVB300,6h,DSC,6,DSC_3x_UVA24_UVB300_6h,04.02.2025,10,12.02.2025,12.02.2025,0.72,1,0.72,98.98,73.79,,,,,,,,,,,,,,,
D29,EKB_20250506,DSC_31_23_control_24h,31_23,control,24h,DSC,6,DSC_control_24h,04.02.2025,10,12.02.2025,13.02.2025,0.92,2,0.46,99.75,88.17,,216,9.9,16,194,2.45,,,,,,,,,
D30,EKB_20250506,DSC_31_23_1x_UVB300_24h,31_23,1x_UVB300,24h,DSC,6,DSC_1x_UVB300_24h,04.02.2025,10,12.02.2025,13.02.2025,1.37,2,0.68,99.82,86.98,,239,9.7,16,193,2.77,,,,,,,,,
D31,EKB_20250506,DSC_31_23_1x_UVB900_24h,31_23,1x_UVB900,24h,DSC,6,DSC_1x_UVB900_24h,04.02.2025,10,12.02.2025,13.02.2025,1.17,2,0.58,99.59,73.79,,53.5,9.4,16,184,1.4,,,,,,,,,
D32,EKB_20250506,DSC_31_23_3x_UVB300_24h,31_23,3x_UVB300,24h,DSC,6,DSC_3x_UVB300_24h,04.02.2025,10,10-12.02.2025,13.02.2025,0.45,1,0.45,99.16,71.92,,403,9.9,16,183,3.1,,,,,,,,,
,,DSC_31_23_1x_UVA72_24h,31_23,1x_UVA72,24h,DSC,6,DSC_1x_UVA72_24h,04.02.2025,10,12.02.2025,13.02.2025,1.37,2,0.68,99.85,92.64,,,,,,,,,,,,,,,
,,DSC_31_23_3x_UVA24_24h,31_23,3x_UVA24,24h,DSC,6,DSC_3x_UVA24_24h,04.02.2025,10,10-12.02.2025,13.02.2025,1,2,0.5,99.79,92.45,,,,,,,,,,,,,,,
,,DSC_31_23_1x_UVA72_UVB900_24h,31_23,1x_UVA72_UVB900,24h,DSC,6,DSC_1x_UVA72_UVB900_24h,04.02.2025,10,12.02.2025,13.02.2025,0.27,1,0.27,99.5,54.74,,,,,,,,,,,,,,,
,,DSC_31_23_3x_UVA24_UVB300_24h,31_23,3x_UVA24_UVB300,24h,DSC,6,DSC_3x_UVA24_UVB300_24h,04.02.2025,10,10-12.02.2025,13.02.2025,0.42,1,0.42,99.6,63.47,,,,,,,,,,,,,,,
D33,EKB_20250507,DSC_32_23_control_6h,32_23,control,6h,DSC,6,DSC_control_6h,10.01.2025,7,20-22.01.2025,22.01.2025,3.1,3,1,99.85,91.94,,500,9.9,16,200,3.79,,,,,,,,,
D34,EKB_20250507,DSC_32_23_1x_UVB300_6h,32_23,1x_UVB300,6h,DSC,6,DSC_1x_UVB300_6h,10.01.2025,7,22.01.2025,22.01.2025,3.5,3,1.16,89.55,89.55,,500,9.9,16,198,3.58,,,,,,,,,
D35,EKB_20250507,DSC_32_23_1x_UVB900_6h,32_23,1x_UVB900,6h,DSC,6,DSC_1x_UVB900_6h,10.01.2025,7,22.01.2025,22.01.2025,3.2,3,1,90.35,90.35,,493.5,9.9,16,196,2.99,,,,,,,,,
D36,EKB_20250507,DSC_32_23_3x_UVB300_6h,32_23,3x_UVB300,6h,DSC,6,DSC_3x_UVB300_6h,10.01.2025,7,20-22.01.2025,22.01.2025,1.9,2,0.95,88.09,88.09,,442,9.9,16,195,4.12,,,,,,,,,
,,DSC_32_23_1x_UVA72_6h,32_23,1x_UVA72,6h,DSC,6,DSC_1x_UVA72_6h,10.01.2025,7,22.01.2025,22.01.2025,3.3,3,1.1,91.59,91.59,,,,,,,,,,,,,,,
,,DSC_32_23_3x_UVA24_6h,32_23,3x_UVA24,6h,DSC,6,DSC_3x_UVA24_6h,10.01.2025,7,20-22.01.2025,22.01.2025,4,3,1.3,93.18,93.18,,,,,,,,,,,,,,,
,,DSC_32_23_1x_UVA72_UVB900_6h,32_23,1x_UVA72_UVB900,6h,DSC,6,DSC_1x_UVA72_UVB900_6h,10.01.2025,7,22.01.2025,22.01.2025,2.75,3,0.9,88.4,88.4,,,,,,,,,,,,,,,
,,DSC_32_23_3x_UVA24_UVB300_6h,32_23,3x_UVA24_UVB300,6h,DSC,6,DSC_3x_UVA24_UVB300_6h,10.01.2025,7,20-22.01.2025,22.01.2025,1.49,2,0.75,83.5,83.5,,,,,,,,,,,,,,,
D37,EKB_20250507,DSC_32_23_control_24h,32_23,control,24h,DSC,6,DSC_control_24h,10.01.2025,7,20-22.01.2025,22.01.2025,2.87,2,1.4,99.75,92.25,,500,9.8,16,194,3.99,,,,,,,,,
D38,EKB_20250507,DSC_32_23_1x_UVB300_24h,32_23,1x_UVB300,24h,DSC,6,DSC_1x_UVB300_24h,10.01.2025,7,22.01.2025,23.01.2025,2.67,2,1.3,99.8,92.29,,500,9.7,16,189,2.95,,,,,,,,,
D39,EKB_20250507,DSC_32_23_1x_UVB900_24h,32_23,1x_UVB900,24h,DSC,6,DSC_1x_UVB900_24h,10.01.2025,7,22.01.2025,23.01.2025,3.22,3,1,99.41,81.44,,500,9.8,16,186,2.75,,,,,,,,,
D40,EKB_20250507,DSC_32_23_3x_UVB300_24h,32_23,3x_UVB300,24h,DSC,6,DSC_3x_UVB300_24h,10.01.2025,7,20-22.01.2025,23.01.2025,1.35,2,0.67,99.63,78.02,,241.5,9.8,16,185,2.18,,,,,,,,,
,,DSC_32_23_1x_UVA72_24h,32_23,1x_UVA72,24h,DSC,6,DSC_1x_UVA72_24h,10.01.2025,7,22.01.2025,23.01.2025,2.8,2,1.4,99.81,92.77,,,,,,,,,,,,,,,
,,DSC_32_23_3x_UVA24_24h,32_23,3x_UVA24,24h,DSC,6,DSC_3x_UVA24_24h,10.01.2025,7,20-22.01.2025,23.01.2025,2.65,2,1.3,99.84,94.53,,,,,,,,,,,,,,,
,,DSC_32_23_1x_UVA72_UVB900_24h,32_23,1x_UVA72_UVB900,24h,DSC,6,DSC_1x_UVA72_UVB900_24h,10.01.2025,7,22.01.2025,23.01.2025,1.35,2,0.67,99.58,62.41,,,,,,,,,,,,,,,
,,DSC_32_23_3x_UVA24_UVB300_24h,32_23,3x_UVA24_UVB300,24h,DSC,6,DSC_3x_UVA24_UVB300_24h,10.01.2025,7,20-22.01.2025,23.01.2025,0.95,1,0.95,99.83,67.65,,,,,,,,,,,,,,,
M1,EKB_20250502,Melanocytes_27_23_control_6h,27_23,control,6h,Melanocytes,8,Melanocytes_control_6h,28.01.2025,2.65,05.02.2025,05.02.2025,1.5,2,0.75,n. d. ,84.96,,500,9.7,16,183,0.42,,,,,,,,,
M2,EKB_20250502,Melanocytes_27_23_1x_UVB300_6h,27_23,1x_UVB300,6h,Melanocytes,8,Melanocytes_1x_UVB300_6h,28.01.2025,2.65,05.02.2025,05.02.2025,1.82,2,0.91,n. d. ,83.77,,500,9.8,16,189,0.89,,,,,,,,,
M3,EKB_20250502,Melanocytes_27_23_1x_UVB900_6h,27_23,1x_UVB900,6h,Melanocytes,8,Melanocytes_1x_UVB900_6h,28.01.2025,2.65,05.02.2025,05.02.2025,1.87,2,0.93,n. d. ,88.34,,500,9.6,16,186,0.68,,,,,,,,,
M4,EKB_20250502,Melanocytes_27_23_3x_UVB300_6h,27_23,3x_UVB300,6h,Melanocytes,8,Melanocytes_3x_UVB300_6h,28.01.2025,2.65,03-05.02.2025,05.02.2025,2.25,2,1.12,n. d. ,89.28,,540,7.5,16,191,0.77,,,,,,,,,
,,Melanocytes_27_23_1x_UVA72_6h,27_23,1x_UVA72,6h,Melanocytes,8,Melanocytes_1x_UVA72_6h,28.01.2025,2.65,05.02.2025,05.02.2025,1.7,2,0.85,n. d. ,85.82,,,,,,,,,,,,,,,
,,Melanocytes_27_23_3x_UVA24_6h,27_23,3x_UVA24,6h,Melanocytes,8,Melanocytes_3x_UVA24_6h,28.01.2025,2.65,03-05.02.2025,05.02.2025,1.2,2,0.6,n. d. ,71.86,,,,,,,,,,,,,,,
,,Melanocytes_27_23_1x_UVA72_UVB900_6h,27_23,1x_UVA72_UVB900,6h,Melanocytes,8,Melanocytes_1x_UVA72_UVB900_6h,28.01.2025,2.65,05.02.2025,05.02.2025,0.7,2,0.35,n. d. ,89.02,,,,,,,,,,,,,,,
,,Melanocytes_27_23_3x_UVA24_UVB300_6h,27_23,3x_UVA24_UVB300,6h,Melanocytes,8,Melanocytes_3x_UVA24_UVB300_6h,28.01.2025,2.65,03-05.02.2025,05.02.2025,0.9,2,0.45,n. d. ,83.07,,,,,,,,,,,,,,,
M5,EKB_20250502,Melanocytes_27_23_control_24h,27_23,control,24h,Melanocytes,8,Melanocytes_control_24h,28.01.2025,2.65,05.02.2025,06.02.2025,1.9,2,0.95,n. d. ,80.18,,500,9.7,16,185,0.86,,,,,,,,,
M6,EKB_20250502,Melanocytes_27_23_1x_UVB300_24h,27_23,1x_UVB300,24h,Melanocytes,8,Melanocytes_1x_UVB300_24h,28.01.2025,2.65,05.02.2025,06.02.2025,1.4,2,0.7,n. d. ,84.3,,500,9.8,16,182,0.61,,,,,,,,,
M7,EKB_20250502,Melanocytes_27_23_1x_UVB900_24h,27_23,1x_UVB900,24h,Melanocytes,8,Melanocytes_1x_UVB900_24h,28.01.2025,2.65,05.02.2025,06.02.2025,0.67,1,0.67,n. d. ,53.66,,500,8.5,16,190,1.13,,,,,,,,,
M8,EKB_20250502,Melanocytes_27_23_3x_UVB300_24h,27_23,3x_UVB300,24h,Melanocytes,8,Melanocytes_3x_UVB300_24h,28.01.2025,2.65,03-05.02.2025,06.02.2025,1.2,2,0.6,n. d. ,77.37,,500,9.6,16,182,0.59,,,,,,,,,
